playerOne,playerTwo,playerOneSeed,playerTwoSeed,winner,totalMoves,playerOneMs,playerTwoMs
mcts-5k-c1-41421356237,random,383075887,976792157,mcts-5k-c1-41421356237,9,199.068,0.0035000000000000005
random,mcts-5k-c1-41421356237,335648714,197882924,mcts-5k-c1-41421356237,10,0.0042,189.44930000000002
mcts-5k-c1-41421356237,random,361182665,2032862076,mcts-5k-c1-41421356237,7,131.705,0.0031999999999999997
random,mcts-5k-c1-41421356237,1433477392,157623132,mcts-5k-c1-41421356237,12,0.0065,250.8939
mcts-5k-c1-41421356237,random,1739718985,222401239,mcts-5k-c1-41421356237,7,152.98760000000001,0.0030999999999999995
random,mcts-5k-c1-41421356237,808493017,1635193033,mcts-5k-c1-41421356237,22,0.009899999999999999,416.63339999999994
mcts-5k-c1-41421356237,random,504408376,1662518478,mcts-5k-c1-41421356237,7,130.02179999999998,0.0031000000000000003
random,mcts-5k-c1-41421356237,1293504301,1414547163,mcts-5k-c1-41421356237,14,0.005299999999999999,284.38620000000003
mcts-5k-c1-41421356237,random,746545593,1876159356,mcts-5k-c1-41421356237,9,176.0435,0.0031999999999999997
random,mcts-5k-c1-41421356237,98277735,366674658,mcts-5k-c1-41421356237,10,0.0043,211.70129999999997
mcts-5k-c1-41421356237,random,734917,1413220255,mcts-5k-c1-41421356237,21,443.95640000000003,0.0082
random,mcts-5k-c1-41421356237,366744445,1361260178,mcts-5k-c1-41421356237,10,0.0045000000000000005,205.4058
mcts-5k-c1-41421356237,random,368271691,1107241978,mcts-5k-c1-41421356237,7,137.1099,0.0014
random,mcts-5k-c2-00,804012060,454473139,mcts-5k-c2-00,8,0.0039,161.6169
mcts-5k-c2-00,random,533200604,43503190,mcts-5k-c2-00,11,238.79930000000002,0.0043
random,mcts-5k-c2-00,591058764,1641278174,mcts-5k-c2-00,12,0.0049,215.49399999999997
mcts-5k-c2-00,random,891472964,214897682,mcts-5k-c2-00,7,154.90669999999997,0.0029
random,mcts-5k-c2-00,1269519834,1908902959,mcts-5k-c2-00,8,0.0029,123.8808
mcts-5k-c2-00,random,1207520596,1674757219,mcts-5k-c2-00,7,147.4906,0.0022
random,mcts-5k-c2-00,78563309,1534964114,mcts-5k-c2-00,10,0.0042,185.8279
mcts-5k-c2-00,random,775920294,60348574,mcts-5k-c2-00,7,128.7025,0.0025
random,mcts-5k-c2-00,1774522720,122238594,mcts-5k-c2-00,10,0.0034999999999999996,189.6023
mcts-5k-c2-00,random,1158405765,1816299661,mcts-5k-c2-00,13,260.44149999999996,0.0051
random,mcts-5k-c2-00,1263389355,107169096,mcts-5k-c2-00,12,0.0049,205.5556
mcts-5k-c2-00,random,1032596209,416783664,mcts-5k-c2-00,11,233.93460000000002,0.0039
random,mcts-5k-c2-00,1216681694,1066269177,mcts-5k-c2-00,8,0.0043,129.8013
mcts-5k-c2-00,random,890440395,397302917,mcts-5k-c2-00,7,136.1291,0.0026
random,mcts-5k-c2-00,28504180,1117339279,mcts-5k-c2-00,12,0.0056,260.74719999999996
mcts-5k-c2-00,random,610047712,1121872183,mcts-5k-c2-00,19,374.55400000000003,0.0078
random,mcts-5k-c2-00,1977094880,1401424334,mcts-5k-c2-00,8,0.0034,166.4791
mcts-5k-c2-00,random,1228850016,979004253,mcts-5k-c2-00,7,166.7176,0.0034000000000000002
random,mcts-5k-c2-00,1771906175,1696215795,mcts-5k-c2-00,8,0.004,164.2898
mcts-5k-c2-00,random,1778826122,1314698490,mcts-5k-c2-00,9,206.7873,0.0043
random,mcts-5k-c2-00,743720069,289510694,mcts-5k-c2-00,12,0.009600000000000001,249.0951
mcts-5k-c2-00,random,392998644,1532084989,mcts-5k-c2-00,7,144.4243,0.0025
random,mcts-5k-c2-00,207026567,1219272021,mcts-5k-c2-00,10,0.0039,185.175
mcts-5k-c2-00,random,1797596047,710797268,mcts-5k-c2-00,7,150.5825,0.003
random,mcts-5k-c2-00,1738238011,2087869990,mcts-5k-c2-00,14,0.006500000000000001,267.8871
mcts-5k-c2-00,random,1786181182,244505851,mcts-5k-c2-00,7,164.92450000000002,0.0027
random,mcts-5k-c2-00,202854413,699455677,mcts-5k-c2-00,10,0.004600000000000001,194.4184
mcts-5k-c2-00,random,1991336270,696842964,mcts-5k-c2-00,7,141.2758,0.002
random,mcts-5k-c2-00,1569360577,116416940,mcts-5k-c2-00,8,0.0037,150.31349999999998
mcts-5k-c2-00,random,974305143,1672273234,mcts-5k-c2-00,7,143.2525,0.0026
random,mcts-5k-c2-00,750837779,494170047,mcts-5k-c2-00,14,0.007,257.7989
mcts-5k-c2-00,random,186393502,152180555,mcts-5k-c2-00,7,143.2589,0.0021
random,mcts-5k-c2-00,1298855247,85648413,mcts-5k-c2-00,12,0.005,230.0935
mcts-5k-c2-00,random,1845145986,824622622,mcts-5k-c2-00,7,127.4329,0.0025
random,mcts-5k-c2-00,306114098,1944399688,mcts-5k-c2-00,18,0.0085,311.2641
mcts-5k-c2-00,random,435926046,78306925,mcts-5k-c2-00,13,282.84680000000003,0.005300000000000001
random,mcts-5k-c2-00,490896119,1991190922,mcts-5k-c2-00,8,0.0043,140.93789999999998
mcts-5k-c2-00,random,1072579592,973878661,mcts-5k-c2-00,9,203.1982,0.003
random,mcts-5k-c2-00,1861654099,1647994867,mcts-5k-c2-00,22,0.01,361.11840000000007
mcts-5k-c2-00,random,209757097,2144893320,mcts-5k-c2-00,7,154.43009999999998,0.0023
random,mcts-5k-c2-00,1416156777,179643127,mcts-5k-c2-00,12,0.0054,228.8744
mcts-5k-c2-00,random,806548553,88117837,mcts-5k-c2-00,7,160.5077,0.0024000000000000002
random,mcts-5k-c2-00,1478641744,365541861,mcts-5k-c2-00,8,0.0037,147.5769
mcts-5k-c2-00,random,919017770,1277639203,mcts-5k-c2-00,9,186.44860000000003,0.0034999999999999996
random,mcts-5k-c2-00,1557571711,532007052,mcts-5k-c2-00,12,0.004699999999999999,216.0658
mcts-5k-c2-00,random,1557127323,1655489235,mcts-5k-c2-00,7,76.2075,0.0015
random,mcts-5k-c2-00,721910652,106552888,mcts-5k-c2-00,10,0.0050999999999999995,187.7463
mcts-5k-c2-00,random,563860711,249550022,mcts-5k-c2-00,7,168.2083,0.0023
random,mcts-5k-c2-00,103117192,240818089,mcts-5k-c2-00,8,0.0029999999999999996,178.6812
mcts-5k-c2-00,random,233229742,121378154,mcts-5k-c2-00,7,155.4614,0.0036
minimax-d4-a-baseline,minimax-d4-c-defensive,1521609682,972973425,minimax-d4-a-baseline,41,74.64500000000002,67.32539999999999
minimax-d4-c-defensive,minimax-d4-a-baseline,404683170,1941321970,Draw,42,66.455,60.2308
minimax-d4-a-baseline,minimax-d4-c-defensive,1651943944,1707874257,minimax-d4-a-baseline,41,71.11019999999999,70.59110000000001
minimax-d4-c-defensive,minimax-d4-a-baseline,1901093379,359147138,minimax-d4-a-baseline,36,63.43909999999998,51.404
minimax-d4-a-baseline,minimax-d4-c-defensive,1774359732,1017457609,minimax-d4-a-baseline,41,67.8681,62.517900000000004
minimax-d4-c-defensive,minimax-d4-a-baseline,982672512,2068849357,minimax-d4-c-defensive,39,72.89100000000002,66.9258
minimax-d4-a-baseline,minimax-d4-c-defensive,2054143490,976895470,minimax-d4-a-baseline,41,62.80619999999999,60.075199999999995
minimax-d4-c-defensive,minimax-d4-a-baseline,256116457,571194652,minimax-d4-c-defensive,31,62.78260000000001,53.940000000000005
minimax-d4-a-baseline,minimax-d4-c-defensive,1835105141,98275665,minimax-d4-a-baseline,41,63.29149999999999,60.223400000000005
minimax-d4-c-defensive,minimax-d4-a-baseline,821022458,933313386,Draw,42,58.95720000000001,56.903800000000004
minimax-d4-a-baseline,minimax-d4-c-defensive,1314114290,567506783,minimax-d4-a-baseline,41,65.3831,67.25599999999999
minimax-d4-c-defensive,minimax-d4-a-baseline,1414534558,1921590693,Draw,42,59.374900000000004,59.2883
minimax-d4-a-baseline,minimax-d4-c-defensive,387272365,927920458,minimax-d4-a-baseline,41,63.06569999999999,61.72400000000001
minimax-d4-c-defensive,minimax-d4-a-baseline,1503879920,384343231,Draw,42,54.9207,52.931899999999985
minimax-d4-a-baseline,minimax-d4-c-defensive,1427330211,823029570,minimax-d4-a-baseline,41,60.36409999999999,60.7396
minimax-d4-c-defensive,minimax-d4-a-baseline,870761469,1620836010,minimax-d4-c-defensive,39,63.30050000000001,61.2459
minimax-d4-a-baseline,minimax-d4-c-defensive,1414765125,88378943,minimax-d4-a-baseline,41,58.30689999999999,57.590500000000006
minimax-d4-c-defensive,minimax-d4-a-baseline,623283638,443183352,minimax-d4-a-baseline,36,59.243900000000004,53.150299999999994
minimax-d4-a-baseline,minimax-d4-c-defensive,1922443604,1012710230,minimax-d4-a-baseline,41,61.45640000000001,55.83820000000001
