config,depth,weightGroup,stage,positions,agreementRate,meanRegret,meanSpeedRegret,meanDecisionMs,p95DecisionMs,maxDecisionMs,meanNodes
minimax-d4-d-no-positional-weights,4,d-no-positional-weights,End,70,0.9857142857142858,0.014285714285714285,0.014285714285714285,0.10402857142857143,0.3434,0.5516,76.92857142857143
minimax-d8-a-baseline,8,a-baseline,Beginning,210,0.7952380952380952,0.6,0.20320855614973263,388.2186533333333,1129.1714,4202.0589,134194.44285714286
minimax-d8-a-baseline,8,a-baseline,Middle,140,0.9071428571428571,0.2857142857142857,0.11278195488721804,224.70097285714277,828.9288,1381.1982,41233.27142857143
minimax-d8-a-baseline,8,a-baseline,End,70,0.9857142857142858,0.014285714285714285,0,1.2575357142857149,9.3133,14.3692,593.0142857142857
minimax-d8-b-attacking,8,b-attacking,Beginning,210,0.7952380952380952,0.6190476190476191,0.17204301075268819,877.0838328571434,2454.0847,5919.7228,137838.3523809524
minimax-d8-b-attacking,8,b-attacking,Middle,140,0.8785714285714286,0.34285714285714286,0.17424242424242425,233.98064,897.6462,1557.5071,41949.77142857143
minimax-d8-b-attacking,8,b-attacking,End,70,0.9857142857142858,0.014285714285714285,0,1.3957242857142862,8.3009,19.2276,580.2
minimax-d8-c-defensive,8,c-defensive,Beginning,210,0.7476190476190476,0.719047619047619,0.2786885245901639,874.3678390476188,2315.6462,5517.1732,139432.1476190476
minimax-d8-c-defensive,8,c-defensive,Middle,140,0.8928571428571429,0.2857142857142857,0.0390625,205.9715685714285,816.4086,1559.2279,42389.45
minimax-d8-c-defensive,8,c-defensive,End,70,0.9857142857142858,0.014285714285714285,0,1.6106457142857147,13.2369,18.2522,595.1857142857143
minimax-d8-d-no-positional-weights,8,d-no-positional-weights,Beginning,210,0.7857142857142857,0.6428571428571429,0.1783783783783784,739.3301152380947,2246.6047,4786.3313,131956.84761904762
minimax-d8-d-no-positional-weights,8,d-no-positional-weights,Middle,140,0.9,0.29285714285714287,0.11363636363636363,198.80881285714293,699.8273,1196.7683,40806.03571428572
minimax-d8-d-no-positional-weights,8,d-no-positional-weights,End,70,0.9857142857142858,0.014285714285714285,0,1.0434371428571432,8.2423,11.1226,581.7714285714286
